--------- beginning of main
11-09 15:02:55.266 25275 11993 V SQLiteTime: /data/user/0/com.discord/databases/exoplayer_internal.db: "INSERT OR REPLACE  INTO ExoPlayerCacheFileMetadata38912964b0f6f468(length,last_touch_timestamp,name) VALUES (?,?,?)" took 4.000 ms
11-09 15:02:55.291  6985  9317 V FuseDaemon: do_forget : node = [node_path: /storage/emulated/12970367461574339824/12970367461574523504/12970367461574644240] (uid=0) 
11-09 15:02:55.291  6985  9317 D FuseDaemon: Node: 12970367461574644240 deleted.
11-09 15:02:55.291  6985  9317 V FuseDaemon: do_forget : node = [node_path: /storage/emulated/12970367461574339824/12970367461574523504/12970367461574452272] (uid=0) 
11-09 15:02:55.291  6985  9317 D FuseDaemon: Node: 12970367461574452272 deleted.
11-09 15:02:55.291  6985  9317 V FuseDaemon: do_forget : node = [node_path: /storage/emulated/12970367461574339824/12970367461574523504/12970367461574653424] (uid=0) 
11-09 15:02:55.291  6985  9317 D FuseDaemon: Node: 12970367461574653424 deleted.
11-09 15:02:55.291  6985  9317 V FuseDaemon: do_forget : node = [node_path: /storage/emulated/12970367461574339824/12970367461574523504/12970367461574394480] (uid=0) 
11-09 15:02:55.291  6985  9317 D FuseDaemon: Node: 12970367461574394480 deleted.
11-09 15:02:55.291  6985  9317 V FuseDaemon: do_forget : node = [node_path: /storage/emulated/12970367461574339824/12970367461574523504/12970367461574974864] (uid=0) 
11-09 15:02:55.291  6985  9317 D FuseDaemon: Node: 12970367461574974864 deleted.
11-09 15:02:55.291  6985  9317 V FuseDaemon: do_forget : node = [node_path: /storage/emulated/12970367461574339824/12970367461574523504/12970367461574849200] (uid=0) 
11-09 15:02:55.291  6985  9317 D FuseDaemon: Node: 12970367461574849200 deleted.
11-09 15:02:55.291  6985  9317 V FuseDaemon: do_forget : node = [node_path: /storage/emulated/12970367461574339824/12970367461574523504/12970367461574627888] (uid=0) 
11-09 15:02:55.291  6985  9317 D FuseDaemon: Node: 12970367461574627888 deleted.
11-09 15:02:55.291  6985  9317 V FuseDaemon: do_forget : node = [node_path: /storage/emulated/12970367461574339824/12970367461574523504/12970367461574915056] (uid=0) 
11-09 15:02:55.291  6985  9317 D FuseDaemon: Node: 12970367461574915056 deleted.
11-09 15:02:55.291  6985  9317 V FuseDaemon: do_forget : node = [node_path: /storage/emulated/12970367461574339824/12970367461574523504/12970367461574538960] (uid=0) 
11-09 15:02:55.291  6985  9317 D FuseDaemon: Node: 12970367461574538960 deleted.
11-09 15:02:55.291  6985  9317 V FuseDaemon: do_forget : node = [node_path: /storage/emulated/12970367461574339824/12970367461574523504/12970367461574512528] (uid=0) 
11-09 15:02:55.291  6985  9317 D FuseDaemon: Node: 12970367461574512528 deleted.
11-09 15:02:55.291  6985  9317 V FuseDaemon: do_forget : node = [node_path: /storage/emulated/12970367461574339824/12970367461574523504/12970367461574452720] (uid=0) 
11-09 15:02:55.291  6985  9317 D FuseDaemon: Node: 12970367461574452720 deleted.
11-09 15:02:55.291  6985  9317 V FuseDaemon: do_forget : node = [node_path: /storage/emulated/12970367461574339824/12970367461574523504/12970367461574641328] (uid=0) 
11-09 15:02:55.291  6985  9317 D FuseDaemon: Node: 12970367461574641328 deleted.
11-09 15:02:55.291  6985  9317 V FuseDaemon: do_forget : node = [node_path: /storage/emulated/12970367461574339824/12970367461574523504/12970367461574915280] (uid=0) 
11-09 15:02:55.291  6985  9317 D FuseDaemon: Node: 12970367461574915280 deleted.
11-09 15:02:55.291  6985  9317 V FuseDaemon: do_forget : node = [node_path: /storage/emulated/12970367461574339824/12970367461574523504/12970367461574445776] (uid=0) 
11-09 15:02:55.291  6985  9317 D FuseDaemon: Node: 12970367461574445776 deleted.
11-09 15:02:55.292  6985  8009 V FuseDaemon: do_forget : node = [node_path: /storage/emulated/12970367461574339824/12970367461574523504/12970367461574890416] (uid=0) 
11-09 15:02:55.292  6985  8009 D FuseDaemon: Node: 12970367461574890416 deleted.
